Model,Organization,Overall,Before Event (CLS),Before Event (INF),During Event (CLS),During Event (INF),After Event (CLS),After Event (INF)
Qwen3-235B-A22B-Instruct-2507,Qwen,72.4,52.25,66.67,79.76,79.53,82.08,81.99
Qwen3-30B-A3B-Instruct-2507,Qwen,69.46,55.24,64.55,75.05,74.64,77.0,76.78
Qwen3-32B,Qwen,66.03,45.2,82.81,70.54,71.47,71.86,71.86
Qwen3-8B,Qwen,63.62,50.84,60.29,68.88,68.67,69.83,69.65
Qwen3-4B-Instruct-2507,Qwen,55.46,45.58,37.75,62.2,61.57,64.8,64.66
Llama-3.3-70B-Instruct,Meta,55.85,44.9,23.7,69.01,66.85,69.76,69.44
Llama-3.1-70B,Meta,22.16,34.77,7.9,33.45,31.99,33.47,33.29
Llama-3.1-8B-Instruct,Meta,49.96,40.69,78.69,50.05,50.16,50.2,50.09
Llama-3.2-3B,Meta,22.76,33.42,7.88,33.42,31.97,33.42,33.24
Llama-3.2-1B,Meta,21.72,33.38,7.9,33.31,31.85,33.31,33.13
DeepSeek-V3.1,DeepSeek,61.48,43.67,78.03,64.44,64.73,63.73,63.83
Kimi-K2-Thinking,Moonshot AI,54.6,45.97,58.13,57.15,56.56,54.21,54.08
gpt-oss-120b,OpenAI (OSS),72.13,55.83,62.23,79.94,78.89,81.81,81.6
gpt-oss-20b,OpenAI (OSS),57.05,47.84,41.46,65.55,64.32,67.42,67.28
gpt-5.2-2025-12-11,OpenAI,71.52,47.63,80.71,76.34,76.25,77.32,77.3
gpt-5.1-2025-11-13,OpenAI,72.02,51.89,68.44,78.6,78.51,81.01,80.83
gpt-4o-2024-08-06,OpenAI,67.11,48.84,74.61,72.29,72.95,73.98,74.13
gpt-4o-mini-2024-07-18,OpenAI,66.12,51.94,73.86,71.02,71.17,71.22,71.22
